timestamp,dir,can_id,dlc,data,decoded
2026-07-22T10:25:09.310,TX,0x1814C9C8,8,00 00 00 00 00 00 00 00,cmd=0x14 bmu=1
2026-07-22T10:25:09.383,RX,0x18C9C8C9,8,00 00 00 21 00 00 00 00,PF=0xC9 SA=0xC9
